tool_name,type,value,ports,date_added
Faronics Core,domain,faronics.com,"80,443",2026-05-19
Faronics Core,domain,www.faronics.com,"80,443",2026-05-19
Faronics Core,domain,user_managed,"7751,7752",2026-05-19
InvGate,domain,invgate.com,443,2026-05-19
InvGate,domain,www.invgate.com,443,2026-05-19
InvGate,domain,*.invgate.net,443,2026-05-19
InvGate,domain,invgate.net,443,2026-05-19
InvGate,domain,lb-insight-001.invgate.net,443,2026-05-19
InvGate,domain,trust.invgate.com,443,2026-05-19
InvGate,domain,trust-access.invgate.com,443,2026-05-19
InvGate,domain,instances-info.invgate.com,443,2026-05-19
InvGate,domain,instances-list.invgate.com,443,2026-05-19
InvGate,domain,releases.invgate.com,443,2026-05-19
InvGate,domain,docs.invgate.net,443,2026-05-19
InvGate,domain,help.invgate.com,443,2026-05-19
TiFLUX,domain,agent.tiflux.com,443,2026-05-19
TiFLUX,domain,app.tiflux.com,443,2026-05-19
TiFLUX,domain,tiflux.com,443,2026-05-19
TiFLUX,domain,www.tiflux.com,443,2026-05-19
TiFLUX,domain,tiflux.com.br,443,2026-05-19
TiFLUX,domain,www.tiflux.com.br,443,2026-05-19
TiFLUX,domain,*.tiflux.com,443,2026-05-19
TiFLUX,domain,my.splashtop.com,443,2026-05-19
Freshservice,domain,fstools.freshservice.com,443,2026-05-19
Freshservice,domain,*.freshservice.com,443,2026-05-19
Freshservice,domain,freshservice.com,443,2026-05-19
Freshservice,domain,www.freshservice.com,443,2026-05-19
Freshservice,domain,fstools.freshasset.com,443,2026-05-19
Freshservice,domain,freshasset.com,443,2026-05-19
Freshservice,domain,*.myfreshworks.com,443,2026-05-19
Freshservice,domain,*.freshworksapi.com,443,2026-05-19
Freshservice,domain,*.freshworks.com,443,2026-05-19
Freshservice,domain,*.freshconnect.io,443,2026-05-19
Freshservice,domain,api.fdcollab.com,443,2026-05-19
Freshservice,domain,*.fdcollab.com,443,2026-05-19
Freshservice,domain,*.freshchat.com,443,2026-05-19
Freshservice,domain,*.webpush.freshchat.com,443,2026-05-19
Freshservice,domain,apicdn-wchat.freshchat.com,443,2026-05-19
Freshservice,domain,*.rtschannel.com,443,2026-05-19
Freshservice,domain,*.freshdev.io,443,2026-05-19
Freshservice,domain,static.freshdev.io,443,2026-05-19
Freshservice,domain,*.freshcloud.io,443,2026-05-19
Freshservice,domain,*.in-freshbots.ai,443,2026-05-19
Freshservice,domain,<internal-customer-ranges>,"22,135,161,445",2026-05-19
HelpWire,domain,helpwire.app,443,2026-06-12
HelpWire,domain,get.helpwire.app,443,2026-06-12
HelpWire,domain,api.helpwire.app,443,2026-06-12
HelpWire,domain,staging.helpwire.app,443,2026-06-12
HelpWire,domain,account.flexihub.com,443,2026-06-12
HelpWire,domain,stun.helpwire.app,3478,2026-06-12
HelpWire,domain,stunserver.stunprotocol.org,3478,2026-06-12
RemotePulse,domain,remotepulse.io,443,2026-07-09
RemotePulse,domain,www.remotepulse.io,443,2026-07-09
Ninite Pro (Ninite Agent),domain,ninite.com,443,2026-07-09
Ninite Pro (Ninite Agent),domain,*.ninite.com,443,2026-07-09
Teleport Connect,domain,cdn.teleport.dev,443,2026-08-19
Teleport Connect,domain,reporting-connect.teleportinfra.sh,443,2026-08-19
Teleport Connect,domain,usage.teleport.dev,443,2026-08-19
Teleport Connect,domain,*.teleport.sh,443,2026-08-19
ControlR,domain,demo.controlr.app,443,2026-08-19
BreezeRMM,domain,breezermm.com,443,2026-08-27
BreezeRMM,domain,breeze.app,443,2026-08-27
BreezeRMM,domain,us.2breeze.app,443,2026-08-27
BreezeRMM,domain,eu.2breeze.app,443,2026-08-27
